distnum,distname,type,lastname,middlename,firstname,party,numvotes,voteshare,rejected,totalvotes
11001,Cardigan,validated,Phelan,,Wayne,CPC,6439.0,29.0,232.0,22399.0
11001,Cardigan,validated,Squires,,Christene,Christian Heritage Party,240.0,1.1,232.0,22399.0
11001,Cardigan,validated,Thiele,,Lynne,NDP,1481.0,6.7,232.0,22399.0
11002,Charlottetown,validated,Byrne,,Joe,NDP,2238.0,11.2,274.0,20184.0
11002,Charlottetown,validated,Campbell,,Robert A.,CPC,4040.0,20.3,274.0,20184.0
11002,Charlottetown,validated,Casey,,Sean,LPC,8812.0,44.3,274.0,20184.0
11002,Charlottetown,validated,Lanthier,,Darcie,GPC,4648.0,23.3,274.0,20184.0
11002,Charlottetown,validated,MacLeod,,Fred,Christian Heritage Party,172.0,0.9,274.0,20184.0
11003,Egmont,validated,Clark,,Alex,GPC,3998.0,19.8,274.0,20452.0
11003,Egmont,validated,Dunn,,Sharon,NDP,1230.0,6.1,274.0,20452.0
11003,Egmont,validated,McLellan,,Logan,CPC,6934.0,34.4,274.0,20452.0
11003,Egmont,validated,Morrissey,,Bobby,LPC,8016.0,39.7,274.0,20452.0
11004,Malpeque,validated,Easter,,Wayne,LPC,9533.0,41.4,288.0,23327.0
11004,Malpeque,validated,Keenan,,Anna,GPC,6103.0,26.5,288.0,23327.0
11004,Malpeque,validated,Nash,,Craig,NDP,1495.0,6.5,288.0,23327.0
11004,Malpeque,validated,Stewart,,Stephen,CPC,5908.0,25.6,288.0,23327.0
12001,Cape Breton--Canso,validated,Dockrill,,Michelle,Independent,685.0,1.6,601.0,43541.0
12001,Cape Breton--Canso,validated,Doucet,,Clive,GPC,3321.0,7.7,601.0,43541.0
12001,Cape Breton--Canso,validated,Joyce,,Billy,PPC,925.0,2.2,601.0,43541.0
12001,Cape Breton--Canso,validated,Kelloway,,Mike,LPC,16694.0,38.9,601.0,43541.0
12001,Cape Breton--Canso,validated,LeBlanc,,Darlene Lynn,National Citizens Alliance,140.0,0.3,601.0,43541.0
12001,Cape Breton--Canso,validated,MacLeod,,Alfie,CPC,14821.0,34.5,601.0,43541.0
12001,Cape Breton--Canso,validated,Suitor,,Laurie,NDP,6354.0,14.8,601.0,43541.0
12002,Central Nova,validated,Canyon,,George,CPC,13201.0,29.7,412.0,44882.0
12002,Central Nova,validated,Fraser,,Sean,LPC,20718.0,46.6,412.0,44882.0
12002,Central Nova,validated,Frazer,,Chris,Communist,180.0,0.4,412.0,44882.0
12002,Central Nova,validated,MacDonald,,Betsy,NDP,5806.0,13.1,412.0,44882.0
12002,Central Nova,validated,Muir,,Al,PPC,938.0,2.1,412.0,44882.0
12002,Central Nova,validated,Randle,,Barry,GPC,3478.0,7.8,412.0,44882.0
12002,Central Nova,validated,Slowik,,Michael,Independent,149.0,0.3,412.0,44882.0
12003,Cumberland--Colchester,validated,Archer,,William,PPC,608.0,1.3,447.0,45897.0
12003,Cumberland--Colchester,validated,Armstrong,,Scott,CPC,16219.0,35.7,447.0,45897.0
12003,Cumberland--Colchester,validated,Blanch,,Jason,GPC,6015.0,13.2,447.0,45897.0
12003,Cumberland--Colchester,validated,Duchesne,,Larry,NDP,5451.0,12.0,447.0,45897.0
12003,Cumberland--Colchester,validated,Garvey,,Stephen J,National Citizens Alliance,109.0,0.2,447.0,45897.0
12003,Cumberland--Colchester,validated,O'Blenis,,Jody,VCP,144.0,0.3,447.0,45897.0
12003,Cumberland--Colchester,validated,Rushton,,Matthew V.,Independent,232.0,0.5,447.0,45897.0
12003,Cumberland--Colchester,validated,Zann,,Lenore,LPC,16672.0,36.7,447.0,45897.0
12004,Dartmouth--Cole Harbour,validated,Cole,,Jason,CPC,8638.0,16.1,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,Fisher,,Darren,LPC,24259.0,45.3,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,Lindsay,,Michelle,PPC,887.0,1.7,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,MacPherson,,Lil,GPC,5280.0,9.9,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,Norton,,Emma,NDP,14435.0,27.0,404.0,53903.0
12005,Halifax,validated,Fillmore,,Andy,LPC,23681.0,42.5,361.0,56113.0
12005,Halifax,validated,Holland,,Bruce,CPC,6456.0,11.6,361.0,56113.0
12005,Halifax,validated,McGenn,,Duncan,PPC,633.0,1.1,361.0,56113.0
12005,Halifax,validated,Roberts,,Jo-Ann,GPC,8013.0,14.4,361.0,56113.0
12005,Halifax,validated,Saulnier,,Christine,NDP,16747.0,30.0,361.0,56113.0
12005,Halifax,validated,Wilson,,Bill,Animal Protection Party,222.0,0.4,361.0,56113.0
12006,Halifax West,validated,Regan,,Geoff,LPC,26885.0,49.5,465.0,54822.0
12006,Halifax West,validated,Shuman,,Fred,CPC,10488.0,19.3,465.0,54822.0
12006,Halifax West,validated,Wilson,,Jacob,NDP,10429.0,19.2,465.0,54822.0
12006,Halifax West,validated,Zurawski,,Richard,GPC,6555.0,12.1,465.0,54822.0
12007,Kings--Hants,validated,Anderson,,Brogan,GPC,6029.0,12.6,327.0,48363.0
12007,Kings--Hants,validated,Blois,,Kody,LPC,20806.0,43.3,327.0,48363.0
12007,Kings--Hants,validated,Dodge,,Stacey,VCP,118.0,0.2,327.0,48363.0
12007,Kings--Hants,validated,MacQuarrie,,Martha,CPC,11905.0,24.8,327.0,48363.0
12007,Kings--Hants,validated,Schneider,,Stephen,NDP,8254.0,17.2,327.0,48363.0
12007,Kings--Hants,validated,Southall,,Matthew,PPC,786.0,1.6,327.0,48363.0
12007,Kings--Hants,validated,Tan,,Nicholas,Parti Rhinocéros Party,138.0,0.3,327.0,48363.0
12008,Sackville--Preston--Chezzetcook,validated,Copley,,Kevin,CPC,11211.0,22.6,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Edmonds,,Anthony,GPC,5725.0,11.6,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Hogg,,Sybil,PPC,816.0,1.6,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Samson,,Darrell,LPC,19925.0,40.2,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Stickland,,Matt,NDP,11860.0,23.9,320.0,49857.0
12009,South Shore--St. Margarets,validated,Foster,,Steven,Independent,376.0,0.7,439.0,52957.0
12009,South Shore--St. Margarets,validated,Hepburn,,Jessika,NDP,8361.0,15.9,439.0,52957.0
12009,South Shore--St. Margarets,validated,Jordan,,Bernadette,LPC,21886.0,41.7,439.0,52957.0
12009,South Shore--St. Margarets,validated,Matthews,,Jason,VCP,125.0,0.2,439.0,52957.0
12009,South Shore--St. Margarets,validated,McMahon,,Shawn,Independent,165.0,0.3,439.0,52957.0
12009,South Shore--St. Margarets,validated,Monk,,Robert,PPC,667.0,1.3,439.0,52957.0
12009,South Shore--St. Margarets,validated,Perkins,,Rick,CPC,14744.0,28.1,439.0,52957.0
12009,South Shore--St. Margarets,validated,Schulthies,,Kevin,Christian Heritage Party,124.0,0.2,439.0,52957.0
12009,South Shore--St. Margarets,validated,Trappenberg,,Thomas,GPC,6070.0,11.6,439.0,52957.0
12010,Sydney--Victoria,validated,Battiste,,Jaime,LPC,12536.0,30.9,528.0,41093.0
12010,Sydney--Victoria,validated,Foster,,Lois,GPC,2249.0,5.5,528.0,41093.0
12010,Sydney--Victoria,validated,Joy,,Randy,VCP,248.0,0.6,528.0,41093.0
12010,Sydney--Victoria,validated,MacKinnon,,Archie,Independent,5679.0,14.0,528.0,41093.0
12010,Sydney--Victoria,validated,MacNeil,,Kenzie,Independent,480.0,1.2,528.0,41093.0
12010,Sydney--Victoria,validated,McDavid,,Jodi,NDP,8146.0,20.1,528.0,41093.0
12010,Sydney--Victoria,validated,Orrell,,Eddie,CPC,11227.0,27.7,528.0,41093.0
12011,West Nova,validated,Cook,,Gloria Jane,VCP,434.0,0.9,512.0,47310.0
12011,West Nova,validated,Deveau,,Jason,LPC,17025.0,36.4,512.0,47310.0
12011,West Nova,validated,Dubois,,Matthew,NDP,5010.0,10.7,512.0,47310.0
12011,West Nova,validated,Green,,Judy N,GPC,5939.0,12.7,512.0,47310.0
12011,West Nova,validated,d'Entremont,,Chris,CPC,18390.0,39.3,512.0,47310.0
13001,Acadie--Bathurst,validated,Cormier,,Serge,LPC,26547.0,55.1,924.0,49067.0
13001,Acadie--Bathurst,validated,Kryszko,,Robert,GPC,4277.0,8.9,924.0,49067.0
13001,Acadie--Bathurst,validated,Savoie,,Martine,CPC,10352.0,21.5,924.0,49067.0
13001,Acadie--Bathurst,validated,Thériault,,Daniel,NDP,6967.0,14.5,924.0,49067.0
13002,Beauséjour,validated,Bélanger,,Jean-Marc,NDP,3940.0,7.3,475.0,54160.0
13002,Beauséjour,validated,Cormier,,Vincent,CPC,9438.0,17.6,475.0,54160.0
13002,Beauséjour,validated,LeBlanc,,Dominic,LPC,24948.0,46.5,475.0,54160.0
13002,Beauséjour,validated,Mercier,,Nancy,PPC,1054.0,2.0,475.0,54160.0
13002,Beauséjour,validated,Reinsborough,,Laura,GPC,14305.0,26.6,475.0,54160.0
13003,Fredericton,validated,Atwin,,Jenica,GPC,16640.0,33.7,301.0,49710.0
13003,Fredericton,validated,DeCourcey,,Matt,LPC,13544.0,27.4,301.0,49710.0
13003,Fredericton,validated,Johnson,,Andrea,CPC,15011.0,30.4,301.0,49710.0
13003,Fredericton,validated,Kirby,,Brandon,Libertarian,126.0,0.3,301.0,49710.0
13003,Fredericton,validated,Patterson,,Jacob,Communist,80.0,0.2,301.0,49710.0
13003,Fredericton,validated,Paull,,Jason,PPC,776.0,1.6,301.0,49710.0
13003,Fredericton,validated,Thomas,,Lesley,Animal Protection Party,286.0,0.6,301.0,49710.0
13003,Fredericton,validated,Thomason,,Mackenzie,NDP,2946.0,6.0,301.0,49710.0
13004,Fundy Royal,validated,Amos,,David Raymond,Independent,295.0,0.6,349.0,48995.0
13004,Fundy Royal,validated,Evans,,John,National Citizens Alliance,201.0,0.4,349.0,48995.0
13004,Fundy Royal,validated,Lockhart,,Alaina,LPC,12433.0,25.6,349.0,48995.0
13004,Fundy Royal,validated,Moore,,Rob,CPC,22389.0,46.0,349.0,48995.0
13004,Fundy Royal,validated,Neumayer,,Rudy,PPC,1249.0,2.6,349.0,48995.0
13004,Fundy Royal,validated,Thompson,,Tim,GPC,7275.0,15.0,349.0,48995.0
13004,Fundy Royal,validated,Tolan,,James,NDP,4804.0,9.9,349.0,48995.0
13005,Madawaska--Restigouche,validated,Arseneault,,René,LPC,17331.0,50.3,657.0,35126.0
13005,Madawaska--Restigouche,validated,Betteridge,,Chad,NDP,2212.0,6.4,657.0,35126.0
13005,Madawaska--Restigouche,validated,Bérubé,,Louis,GPC,5125.0,14.9,657.0,35126.0
13005,Madawaska--Restigouche,validated,Fox,,Nelson,CPC,9801.0,28.4,657.0,35126.0
13006,Miramichi--Grand Lake,validated,Clancy Teslenko,,Eileen,NDP,2875.0,8.3,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Deitch,,Patty,GPC,3914.0,11.3,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Finnigan,,Pat,LPC,12722.0,36.8,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Lawson,,Mathew Grant,Independent,396.0,1.1,517.0,35115.0
13006,Miramichi--Grand Lake,validated,MacKenzie,,Allison,Independent,1160.0,3.4,517.0,35115.0
13006,Miramichi--Grand Lake,validated,McLean,,Peggy,CPC,12352.0,35.7,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Nowlan,,Ron,PPC,1179.0,3.4,517.0,35115.0
13007,Moncton--Riverview--Dieppe,validated,Driver,,Stephen,PPC,1258.0,2.4,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Godin-Charest,,Sylvie,CPC,12200.0,23.5,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Kelly,,Claire,GPC,9287.0,17.9,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,MacDonald,,Brad,Animal Protection Party,373.0,0.7,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,MacLaren,,Luke,NDP,6164.0,11.9,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Petitpas Taylor,,Ginette,LPC,22261.0,43.0,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Williams,,Rhys,Christian Heritage Party,285.0,0.5,396.0,52224.0
13008,New Brunswick Southwest,validated,Jonah,,Susan,GPC,5352.0,13.5,301.0,39879.0
13008,New Brunswick Southwest,validated,Ludwig,,Karen,LPC,10110.0,25.5,301.0,39879.0
13008,New Brunswick Southwest,validated,Mullin,,Douglas,NDP,3251.0,8.2,301.0,39879.0
13008,New Brunswick Southwest,validated,Sarty,,Meryl,PPC,1214.0,3.1,301.0,39879.0
13008,New Brunswick Southwest,validated,Scott,,Abe,VCP,200.0,0.5,301.0,39879.0
13008,New Brunswick Southwest,validated,Williamson,,John,CPC,19451.0,49.1,301.0,39879.0
13009,Saint John--Rothesay,validated,Barnett,,Neville,Independent,150.0,0.4,250.0,41503.0
13009,Saint John--Rothesay,validated,Cormier,,Armand,NDP,5046.0,12.2,250.0,41503.0
13009,Saint John--Rothesay,validated,Jamieson,,Stuart,Independent,1183.0,2.9,250.0,41503.0
13009,Saint John--Rothesay,validated,Long,,Wayne,LPC,15443.0,37.4,250.0,41503.0
13009,Saint John--Rothesay,validated,McAllister,,Ann,GPC,4165.0,10.1,250.0,41503.0
13009,Saint John--Rothesay,validated,Salesse,,Adam J. C.,PPC,1260.0,3.1,250.0,41503.0
13009,Saint John--Rothesay,validated,Weston,,Rodney,CPC,14006.0,34.0,250.0,41503.0
13010,Tobique--Mactaquac,validated,Aiken,,Megan,NDP,3007.0,7.9,376.0,38577.0
13010,Tobique--Mactaquac,validated,Bragdon,,Richard,CPC,19229.0,50.3,376.0,38577.0
13010,Tobique--Mactaquac,validated,Guay,,Dominic,PPC,936.0,2.5,376.0,38577.0
13010,Tobique--Mactaquac,validated,MacDonald,,Kelsey,LPC,9631.0,25.2,376.0,38577.0
13010,Tobique--Mactaquac,validated,Miller,,Rowan P.,GPC,5398.0,14.1,376.0,38577.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Bergeron,,Isabelle,LPC,8963.0,28.3,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Bérubé,,Sylvie,Bloc,11432.0,36.1,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Cabana-Whiteley,,Kiara,GPC,1151.0,3.6,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Ferron,,Martin,CPC,5240.0,16.6,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Lanouette,,Guillaume,PPC,379.0,1.2,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Rouleau,,Jacline,NDP,4104.0,13.0,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Simon,,Daniel,Radical Marijuana,387.0,1.2,828.0,32484.0
24002,Abitibi--Témiscamingue,validated,Bégin,,Aline,GPC,1818.0,3.6,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Girard,,Jacques,PPC,487.0,1.0,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Guimond,,Alain,NDP,5093.0,10.2,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Lemire,,Sébastien,Bloc,22803.0,45.5,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Provencher,,Mario,CPC,7537.0,15.0,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Thibault,,Claude,LPC,12417.0,24.8,1057.0,51212.0
24003,Ahuntsic-Cartierville,validated,Ayas,,Raymond,PPC,584.0,1.1,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,El-Masri,,Zahia,NDP,6284.0,11.4,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Joly,,Mélanie,LPC,28904.0,52.4,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Laframboise,,Kathy,CPC,4013.0,7.3,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Lavarenne,,Jean-Michel,GPC,3352.0,6.1,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Parizeau,,André,Bloc,11974.0,21.7,1022.0,56133.0
24004,Alfred-Pellan,validated,Buté,,Julius,Pour l'Indépendance du Québec,177.0,0.3,973.0,55282.0
24004,Alfred-Pellan,validated,Cappelletti,,Dwayne,Independent,113.0,0.2,973.0,55282.0
24004,Alfred-Pellan,validated,Couture,,Matthieu,PPC,471.0,0.9,973.0,55282.0
24004,Alfred-Pellan,validated,Esposito,,Angelo,CPC,5917.0,10.9,973.0,55282.0
24004,Alfred-Pellan,validated,Howells,,Marguerite,GPC,1958.0,3.6,973.0,55282.0
24004,Alfred-Pellan,validated,Iacono,,Angelo,LPC,26015.0,47.9,973.0,55282.0
24004,Alfred-Pellan,validated,Kocini,,Andriana,NDP,4109.0,7.6,973.0,55282.0
24004,Alfred-Pellan,validated,Lachance,,Michel,Bloc,15549.0,28.6,973.0,55282.0
24005,Argenteuil--La Petite-Nation,validated,Boucher Smoley,,Charlotte,NDP,3758.0,7.5,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Destroismaisons,,Yves,Bloc,18167.0,36.3,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Edwards,,Sherwin,PPC,721.0,1.4,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Lauzon,,Stéphane,LPC,18896.0,37.8,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Louis-Seize,,Marie,CPC,6044.0,12.1,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Valiquette,,Marjorie,GPC,2411.0,4.8,828.0,50825.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Barnabé,,Éric,PPC,210.0,0.6,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Castonguay,,Mathieu,Parti Rhinocéros Party,180.0,0.5,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Côté,,Rémi-Jocelyn,NDP,1435.0,4.0,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Massé,,Rémi,LPC,12188.0,33.9,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Michaud,,Kristina,Bloc,18500.0,51.4,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Morrison,,James,GPC,699.0,1.9,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Tremblay,,Natasha,CPC,2756.0,7.7,591.0,36559.0
24007,Beauce,validated,Bernier,,Maxime,Parti Rhinocéros Party,1084.0,1.8,1147.0,60576.0
24007,Beauce,validated,Bernier,,Maxime,PPC,16796.0,28.3,1147.0,60576.0
24007,Beauce,validated,Fortin,,Josiane,GPC,1461.0,2.5,1147.0,60576.0
24007,Beauce,validated,Jacques-Côté,,François,NDP,1847.0,3.1,1147.0,60576.0
24007,Beauce,validated,Lehoux,,Richard,CPC,22860.0,38.5,1147.0,60576.0
24007,Beauce,validated,Rodrigue,,Guillaume,Bloc,8410.0,14.2,1147.0,60576.0
24007,Beauce,validated,Veilleux,,Adam,LPC,6971.0,11.7,1147.0,60576.0
24008,Beauport--Limoilou,validated,Beaudet,,Simon-Pierre,NDP,5599.0,11.2,1272.0,51463.0
24008,Beauport--Limoilou,validated,Bujold,,Antoine,LPC,13020.0,25.9,1272.0,51463.0
24008,Beauport--Limoilou,validated,Bédard,,Alicia,PPC,1033.0,2.1,1272.0,51463.0
24008,Beauport--Limoilou,validated,Clarke,,Alupa,CPC,13185.0,26.3,1272.0,51463.0
24008,Beauport--Limoilou,validated,Elhak,,Dalila,GPC,2127.0,4.2,1272.0,51463.0
24008,Beauport--Limoilou,validated,Moreau,,Claude,ML,78.0,0.2,1272.0,51463.0
24008,Beauport--Limoilou,validated,Vignola,,Julie,Bloc,15149.0,30.2,1272.0,51463.0
24009,Bécancour--Nicolet--Saurel,validated,Lennard,,Carole,NDP,2732.0,5.2,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Plamondon,,Louis,Bloc,29653.0,56.7,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Rochefort,,Nathalie,LPC,9332.0,17.8,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Synnott,,Richard,PPC,489.0,0.9,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Turcotte,,David,GPC,1697.0,3.2,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Émond,,Pierre-André,CPC,8434.0,16.1,1042.0,53379.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Blaney,,Steven,CPC,32283.0,50.1,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Bouchard-Théberge,,Sébastien,Bloc,14754.0,22.9,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Chamroeun,,Khuon,NDP,3256.0,5.1,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Gilbert,,Yves,Christian Heritage Party,188.0,0.3,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Harvey,,Laurence,LPC,10734.0,16.7,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Johnston,,Marc,PPC,1307.0,2.0,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Voyer,,André,GPC,1925.0,3.0,1113.0,65560.0
24011,Beloeil--Chambly,validated,Bernard,,Chloé,PPC,512.0,0.7,1064.0,70554.0
24011,Beloeil--Chambly,validated,Blanchet,,Yves-François,Bloc,35068.0,50.5,1064.0,70554.0
24011,Beloeil--Chambly,validated,Blondin,,Michel,Pour l'Indépendance du Québec,205.0,0.3,1064.0,70554.0
24011,Beloeil--Chambly,validated,Carrier,,Pierre,GPC,3255.0,4.7,1064.0,70554.0
24011,Beloeil--Chambly,validated,Dubé,,Matthew,NDP,10086.0,14.5,1064.0,70554.0
24011,Beloeil--Chambly,validated,Hamel,,Marie-Chantal,LPC,16059.0,23.1,1064.0,70554.0
24011,Beloeil--Chambly,validated,Laprise,,Véronique,CPC,4305.0,6.2,1064.0,70554.0
24012,Berthier--Maskinongé,validated,Brosseau,,Ruth Ellen,NDP,19698.0,35.0,977.0,57331.0
24012,Berthier--Maskinongé,validated,Bélanger,,Alain,Independent,154.0,0.3,977.0,57331.0
24012,Berthier--Maskinongé,validated,Bélanger,,Josée,CPC,5812.0,10.3,977.0,57331.0
24012,Berthier--Maskinongé,validated,Jubinville,,Martin Acetaria Caesar,Parti Rhinocéros Party,151.0,0.3,977.0,57331.0
24012,Berthier--Maskinongé,validated,Laferrière,,Éric,GPC,1008.0,1.8,977.0,57331.0
24012,Berthier--Maskinongé,validated,Légaré,,Danny,Radical Marijuana,107.0,0.2,977.0,57331.0
24012,Berthier--Maskinongé,validated,Massé,,Luc,PPC,428.0,0.8,977.0,57331.0
24012,Berthier--Maskinongé,validated,Perron,,Yves,Bloc,21200.0,37.6,977.0,57331.0
24012,Berthier--Maskinongé,validated,Poirier,,Christine,LPC,7796.0,13.8,977.0,57331.0
24013,Thérèse-De Blainville,validated,Ayoub,,Ramez,LPC,20988.0,35.8,933.0,59482.0
24013,Thérèse-De Blainville,validated,Beaudet,,Normand,GPC,2710.0,4.6,933.0,59482.0
24013,Thérèse-De Blainville,validated,Chabot,,Louise,Bloc,24486.0,41.8,933.0,59482.0
24013,Thérèse-De Blainville,validated,Fournier,,Marie Claude,CPC,5264.0,9.0,933.0,59482.0
24013,Thérèse-De Blainville,validated,Lamontagne,,Alain,Parti Rhinocéros Party,215.0,0.4,933.0,59482.0
24013,Thérèse-De Blainville,validated,Mounanga,,Désiré,PPC,366.0,0.6,933.0,59482.0
24013,Thérèse-De Blainville,validated,Piano,,Andy,Independent,89.0,0.2,933.0,59482.0
24013,Thérèse-De Blainville,validated,Wolker,,Hannah,NDP,4431.0,7.6,933.0,59482.0
24014,Pierre-Boucher--Les Patriotes--Verchères,validated,Albert,,Clifford,PPC,384.0,0.6,913.0,61696.0
24014,Pierre-Boucher--Les Patriotes--Verchères,validated,Barsalou-Duval,,Xavier,Bloc,31009.0,51.0,913.0,61696.0
