distnum,distname,type,lastname,middlename,firstname,party,numvotes,voteshare,rejected,totalvotes
10007,St. John's South--Mount Pearl,validated,Ruckpaul,,Benjamin,People's Party,335.0,0.8,592.0,41258.0
11001,Cardigan,validated,Beaton,,Glen,Green Party,3068.0,13.8,232.0,22399.0
11001,Cardigan,validated,MacAulay,,Lawrence,Liberal,10939.0,49.3,232.0,22399.0
11001,Cardigan,validated,Phelan,,Wayne,Conservative,6439.0,29.0,232.0,22399.0
11001,Cardigan,validated,Squires,,Christene,Christian Heritage Party,240.0,1.1,232.0,22399.0
11001,Cardigan,validated,Thiele,,Lynne,NDP-New Democratic Party,1481.0,6.7,232.0,22399.0
11002,Charlottetown,validated,Byrne,,Joe,NDP-New Democratic Party,2238.0,11.2,274.0,20184.0
11002,Charlottetown,validated,Campbell,,Robert A.,Conservative,4040.0,20.3,274.0,20184.0
11002,Charlottetown,validated,Casey,,Sean,Liberal,8812.0,44.3,274.0,20184.0
11002,Charlottetown,validated,Lanthier,,Darcie,Green Party,4648.0,23.3,274.0,20184.0
11002,Charlottetown,validated,MacLeod,,Fred,Christian Heritage Party,172.0,0.9,274.0,20184.0
11003,Egmont,validated,Clark,,Alex,Green Party,3998.0,19.8,274.0,20452.0
11003,Egmont,validated,Dunn,,Sharon,NDP-New Democratic Party,1230.0,6.1,274.0,20452.0
11003,Egmont,validated,McLellan,,Logan,Conservative,6934.0,34.4,274.0,20452.0
11003,Egmont,validated,Morrissey,,Bobby,Liberal,8016.0,39.7,274.0,20452.0
11004,Malpeque,validated,Easter,,Wayne,Liberal,9533.0,41.4,288.0,23327.0
11004,Malpeque,validated,Keenan,,Anna,Green Party,6103.0,26.5,288.0,23327.0
11004,Malpeque,validated,Nash,,Craig,NDP-New Democratic Party,1495.0,6.5,288.0,23327.0
11004,Malpeque,validated,Stewart,,Stephen,Conservative,5908.0,25.6,288.0,23327.0
12001,Cape Breton--Canso,validated,Dockrill,,Michelle,Independent,685.0,1.6,601.0,43541.0
12001,Cape Breton--Canso,validated,Doucet,,Clive,Green Party,3321.0,7.7,601.0,43541.0
12001,Cape Breton--Canso,validated,Joyce,,Billy,People's Party,925.0,2.2,601.0,43541.0
12001,Cape Breton--Canso,validated,Kelloway,,Mike,Liberal,16694.0,38.9,601.0,43541.0
12001,Cape Breton--Canso,validated,LeBlanc,,Darlene Lynn,National Citizens Alliance,140.0,0.3,601.0,43541.0
12001,Cape Breton--Canso,validated,MacLeod,,Alfie,Conservative,14821.0,34.5,601.0,43541.0
12001,Cape Breton--Canso,validated,Suitor,,Laurie,NDP-New Democratic Party,6354.0,14.8,601.0,43541.0
12002,Central Nova,validated,Canyon,,George,Conservative,13201.0,29.7,412.0,44882.0
12002,Central Nova,validated,Fraser,,Sean,Liberal,20718.0,46.6,412.0,44882.0
12002,Central Nova,validated,Frazer,,Chris,Communist,180.0,0.4,412.0,44882.0
12002,Central Nova,validated,MacDonald,,Betsy,NDP-New Democratic Party,5806.0,13.1,412.0,44882.0
12002,Central Nova,validated,Muir,,Al,People's Party,938.0,2.1,412.0,44882.0
12002,Central Nova,validated,Randle,,Barry,Green Party,3478.0,7.8,412.0,44882.0
12002,Central Nova,validated,Slowik,,Michael,Independent,149.0,0.3,412.0,44882.0
12003,Cumberland--Colchester,validated,Archer,,William,People's Party,608.0,1.3,447.0,45897.0
12003,Cumberland--Colchester,validated,Armstrong,,Scott,Conservative,16219.0,35.7,447.0,45897.0
12003,Cumberland--Colchester,validated,Blanch,,Jason,Green Party,6015.0,13.2,447.0,45897.0
12003,Cumberland--Colchester,validated,Duchesne,,Larry,NDP-New Democratic Party,5451.0,12.0,447.0,45897.0
12003,Cumberland--Colchester,validated,Garvey,,Stephen J,National Citizens Alliance,109.0,0.2,447.0,45897.0
12003,Cumberland--Colchester,validated,O'Blenis,,Jody,VCP,144.0,0.3,447.0,45897.0
12003,Cumberland--Colchester,validated,Rushton,,Matthew V.,Independent,232.0,0.5,447.0,45897.0
12003,Cumberland--Colchester,validated,Zann,,Lenore,Liberal,16672.0,36.7,447.0,45897.0
12004,Dartmouth--Cole Harbour,validated,Cole,,Jason,Conservative,8638.0,16.1,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,Fisher,,Darren,Liberal,24259.0,45.3,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,Lindsay,,Michelle,People's Party,887.0,1.7,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,MacPherson,,Lil,Green Party,5280.0,9.9,404.0,53903.0
12004,Dartmouth--Cole Harbour,validated,Norton,,Emma,NDP-New Democratic Party,14435.0,27.0,404.0,53903.0
12005,Halifax,validated,Fillmore,,Andy,Liberal,23681.0,42.5,361.0,56113.0
12005,Halifax,validated,Holland,,Bruce,Conservative,6456.0,11.6,361.0,56113.0
12005,Halifax,validated,McGenn,,Duncan,People's Party,633.0,1.1,361.0,56113.0
12005,Halifax,validated,Roberts,,Jo-Ann,Green Party,8013.0,14.4,361.0,56113.0
12005,Halifax,validated,Saulnier,,Christine,NDP-New Democratic Party,16747.0,30.0,361.0,56113.0
12005,Halifax,validated,Wilson,,Bill,Animal Protection Party,222.0,0.4,361.0,56113.0
12006,Halifax West,validated,Regan,,Geoff,Liberal,26885.0,49.5,465.0,54822.0
12006,Halifax West,validated,Shuman,,Fred,Conservative,10488.0,19.3,465.0,54822.0
12006,Halifax West,validated,Wilson,,Jacob,NDP-New Democratic Party,10429.0,19.2,465.0,54822.0
12006,Halifax West,validated,Zurawski,,Richard,Green Party,6555.0,12.1,465.0,54822.0
12007,Kings--Hants,validated,Anderson,,Brogan,Green Party,6029.0,12.6,327.0,48363.0
12007,Kings--Hants,validated,Blois,,Kody,Liberal,20806.0,43.3,327.0,48363.0
12007,Kings--Hants,validated,Dodge,,Stacey,VCP,118.0,0.2,327.0,48363.0
12007,Kings--Hants,validated,MacQuarrie,,Martha,Conservative,11905.0,24.8,327.0,48363.0
12007,Kings--Hants,validated,Schneider,,Stephen,NDP-New Democratic Party,8254.0,17.2,327.0,48363.0
12007,Kings--Hants,validated,Southall,,Matthew,People's Party,786.0,1.6,327.0,48363.0
12007,Kings--Hants,validated,Tan,,Nicholas,Parti Rhinocéros Party,138.0,0.3,327.0,48363.0
12008,Sackville--Preston--Chezzetcook,validated,Copley,,Kevin,Conservative,11211.0,22.6,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Edmonds,,Anthony,Green Party,5725.0,11.6,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Hogg,,Sybil,People's Party,816.0,1.6,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Samson,,Darrell,Liberal,19925.0,40.2,320.0,49857.0
12008,Sackville--Preston--Chezzetcook,validated,Stickland,,Matt,NDP-New Democratic Party,11860.0,23.9,320.0,49857.0
12009,South Shore--St. Margarets,validated,Foster,,Steven,Independent,376.0,0.7,439.0,52957.0
12009,South Shore--St. Margarets,validated,Hepburn,,Jessika,NDP-New Democratic Party,8361.0,15.9,439.0,52957.0
12009,South Shore--St. Margarets,validated,Jordan,,Bernadette,Liberal,21886.0,41.7,439.0,52957.0
12009,South Shore--St. Margarets,validated,Matthews,,Jason,VCP,125.0,0.2,439.0,52957.0
12009,South Shore--St. Margarets,validated,McMahon,,Shawn,Independent,165.0,0.3,439.0,52957.0
12009,South Shore--St. Margarets,validated,Monk,,Robert,People's Party,667.0,1.3,439.0,52957.0
12009,South Shore--St. Margarets,validated,Perkins,,Rick,Conservative,14744.0,28.1,439.0,52957.0
12009,South Shore--St. Margarets,validated,Schulthies,,Kevin,Christian Heritage Party,124.0,0.2,439.0,52957.0
12009,South Shore--St. Margarets,validated,Trappenberg,,Thomas,Green Party,6070.0,11.6,439.0,52957.0
12010,Sydney--Victoria,validated,Battiste,,Jaime,Liberal,12536.0,30.9,528.0,41093.0
12010,Sydney--Victoria,validated,Foster,,Lois,Green Party,2249.0,5.5,528.0,41093.0
12010,Sydney--Victoria,validated,Joy,,Randy,VCP,248.0,0.6,528.0,41093.0
12010,Sydney--Victoria,validated,MacKinnon,,Archie,Independent,5679.0,14.0,528.0,41093.0
12010,Sydney--Victoria,validated,MacNeil,,Kenzie,Independent,480.0,1.2,528.0,41093.0
12010,Sydney--Victoria,validated,McDavid,,Jodi,NDP-New Democratic Party,8146.0,20.1,528.0,41093.0
12010,Sydney--Victoria,validated,Orrell,,Eddie,Conservative,11227.0,27.7,528.0,41093.0
12011,West Nova,validated,Cook,,Gloria Jane,VCP,434.0,0.9,512.0,47310.0
12011,West Nova,validated,Deveau,,Jason,Liberal,17025.0,36.4,512.0,47310.0
12011,West Nova,validated,Dubois,,Matthew,NDP-New Democratic Party,5010.0,10.7,512.0,47310.0
12011,West Nova,validated,Green,,Judy N,Green Party,5939.0,12.7,512.0,47310.0
12011,West Nova,validated,d'Entremont,,Chris,Conservative,18390.0,39.3,512.0,47310.0
13001,Acadie--Bathurst,validated,Cormier,,Serge,Liberal,26547.0,55.1,924.0,49067.0
13001,Acadie--Bathurst,validated,Kryszko,,Robert,Green Party,4277.0,8.9,924.0,49067.0
13001,Acadie--Bathurst,validated,Savoie,,Martine,Conservative,10352.0,21.5,924.0,49067.0
13001,Acadie--Bathurst,validated,Thériault,,Daniel,NDP-New Democratic Party,6967.0,14.5,924.0,49067.0
13002,Beauséjour,validated,Bélanger,,Jean-Marc,NDP-New Democratic Party,3940.0,7.3,475.0,54160.0
13002,Beauséjour,validated,Cormier,,Vincent,Conservative,9438.0,17.6,475.0,54160.0
13002,Beauséjour,validated,LeBlanc,,Dominic,Liberal,24948.0,46.5,475.0,54160.0
13002,Beauséjour,validated,Mercier,,Nancy,People's Party,1054.0,2.0,475.0,54160.0
13002,Beauséjour,validated,Reinsborough,,Laura,Green Party,14305.0,26.6,475.0,54160.0
13003,Fredericton,validated,Atwin,,Jenica,Green Party,16640.0,33.7,301.0,49710.0
13003,Fredericton,validated,DeCourcey,,Matt,Liberal,13544.0,27.4,301.0,49710.0
13003,Fredericton,validated,Johnson,,Andrea,Conservative,15011.0,30.4,301.0,49710.0
13003,Fredericton,validated,Kirby,,Brandon,Libertarian,126.0,0.3,301.0,49710.0
13003,Fredericton,validated,Patterson,,Jacob,Communist,80.0,0.2,301.0,49710.0
13003,Fredericton,validated,Paull,,Jason,People's Party,776.0,1.6,301.0,49710.0
13003,Fredericton,validated,Thomas,,Lesley,Animal Protection Party,286.0,0.6,301.0,49710.0
13003,Fredericton,validated,Thomason,,Mackenzie,NDP-New Democratic Party,2946.0,6.0,301.0,49710.0
13004,Fundy Royal,validated,Amos,,David Raymond,Independent,295.0,0.6,349.0,48995.0
13004,Fundy Royal,validated,Evans,,John,National Citizens Alliance,201.0,0.4,349.0,48995.0
13004,Fundy Royal,validated,Lockhart,,Alaina,Liberal,12433.0,25.6,349.0,48995.0
13004,Fundy Royal,validated,Moore,,Rob,Conservative,22389.0,46.0,349.0,48995.0
13004,Fundy Royal,validated,Neumayer,,Rudy,People's Party,1249.0,2.6,349.0,48995.0
13004,Fundy Royal,validated,Thompson,,Tim,Green Party,7275.0,15.0,349.0,48995.0
13004,Fundy Royal,validated,Tolan,,James,NDP-New Democratic Party,4804.0,9.9,349.0,48995.0
13005,Madawaska--Restigouche,validated,Arseneault,,René,Liberal,17331.0,50.3,657.0,35126.0
13005,Madawaska--Restigouche,validated,Betteridge,,Chad,NDP-New Democratic Party,2212.0,6.4,657.0,35126.0
13005,Madawaska--Restigouche,validated,Bérubé,,Louis,Green Party,5125.0,14.9,657.0,35126.0
13005,Madawaska--Restigouche,validated,Fox,,Nelson,Conservative,9801.0,28.4,657.0,35126.0
13006,Miramichi--Grand Lake,validated,Clancy Teslenko,,Eileen,NDP-New Democratic Party,2875.0,8.3,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Deitch,,Patty,Green Party,3914.0,11.3,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Finnigan,,Pat,Liberal,12722.0,36.8,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Lawson,,Mathew Grant,Independent,396.0,1.1,517.0,35115.0
13006,Miramichi--Grand Lake,validated,MacKenzie,,Allison,Independent,1160.0,3.4,517.0,35115.0
13006,Miramichi--Grand Lake,validated,McLean,,Peggy,Conservative,12352.0,35.7,517.0,35115.0
13006,Miramichi--Grand Lake,validated,Nowlan,,Ron,People's Party,1179.0,3.4,517.0,35115.0
13007,Moncton--Riverview--Dieppe,validated,Driver,,Stephen,People's Party,1258.0,2.4,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Godin-Charest,,Sylvie,Conservative,12200.0,23.5,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Kelly,,Claire,Green Party,9287.0,17.9,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,MacDonald,,Brad,Animal Protection Party,373.0,0.7,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,MacLaren,,Luke,NDP-New Democratic Party,6164.0,11.9,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Petitpas Taylor,,Ginette,Liberal,22261.0,43.0,396.0,52224.0
13007,Moncton--Riverview--Dieppe,validated,Williams,,Rhys,Christian Heritage Party,285.0,0.5,396.0,52224.0
13008,New Brunswick Southwest,validated,Jonah,,Susan,Green Party,5352.0,13.5,301.0,39879.0
13008,New Brunswick Southwest,validated,Ludwig,,Karen,Liberal,10110.0,25.5,301.0,39879.0
13008,New Brunswick Southwest,validated,Mullin,,Douglas,NDP-New Democratic Party,3251.0,8.2,301.0,39879.0
13008,New Brunswick Southwest,validated,Sarty,,Meryl,People's Party,1214.0,3.1,301.0,39879.0
13008,New Brunswick Southwest,validated,Scott,,Abe,VCP,200.0,0.5,301.0,39879.0
13008,New Brunswick Southwest,validated,Williamson,,John,Conservative,19451.0,49.1,301.0,39879.0
13009,Saint John--Rothesay,validated,Barnett,,Neville,Independent,150.0,0.4,250.0,41503.0
13009,Saint John--Rothesay,validated,Cormier,,Armand,NDP-New Democratic Party,5046.0,12.2,250.0,41503.0
13009,Saint John--Rothesay,validated,Jamieson,,Stuart,Independent,1183.0,2.9,250.0,41503.0
13009,Saint John--Rothesay,validated,Long,,Wayne,Liberal,15443.0,37.4,250.0,41503.0
13009,Saint John--Rothesay,validated,McAllister,,Ann,Green Party,4165.0,10.1,250.0,41503.0
13009,Saint John--Rothesay,validated,Salesse,,Adam J. C.,People's Party,1260.0,3.1,250.0,41503.0
13009,Saint John--Rothesay,validated,Weston,,Rodney,Conservative,14006.0,34.0,250.0,41503.0
13010,Tobique--Mactaquac,validated,Aiken,,Megan,NDP-New Democratic Party,3007.0,7.9,376.0,38577.0
13010,Tobique--Mactaquac,validated,Bragdon,,Richard,Conservative,19229.0,50.3,376.0,38577.0
13010,Tobique--Mactaquac,validated,Guay,,Dominic,People's Party,936.0,2.5,376.0,38577.0
13010,Tobique--Mactaquac,validated,MacDonald,,Kelsey,Liberal,9631.0,25.2,376.0,38577.0
13010,Tobique--Mactaquac,validated,Miller,,Rowan P.,Green Party,5398.0,14.1,376.0,38577.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Bergeron,,Isabelle,Liberal,8963.0,28.3,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Bérubé,,Sylvie,Bloc Québécois,11432.0,36.1,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Cabana-Whiteley,,Kiara,Green Party,1151.0,3.6,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Ferron,,Martin,Conservative,5240.0,16.6,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Lanouette,,Guillaume,People's Party,379.0,1.2,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Rouleau,,Jacline,NDP-New Democratic Party,4104.0,13.0,828.0,32484.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,validated,Simon,,Daniel,Radical Marijuana,387.0,1.2,828.0,32484.0
24002,Abitibi--Témiscamingue,validated,Bégin,,Aline,Green Party,1818.0,3.6,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Girard,,Jacques,People's Party,487.0,1.0,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Guimond,,Alain,NDP-New Democratic Party,5093.0,10.2,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Lemire,,Sébastien,Bloc Québécois,22803.0,45.5,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Provencher,,Mario,Conservative,7537.0,15.0,1057.0,51212.0
24002,Abitibi--Témiscamingue,validated,Thibault,,Claude,Liberal,12417.0,24.8,1057.0,51212.0
24003,Ahuntsic-Cartierville,validated,Ayas,,Raymond,People's Party,584.0,1.1,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,El-Masri,,Zahia,NDP-New Democratic Party,6284.0,11.4,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Joly,,Mélanie,Liberal,28904.0,52.4,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Laframboise,,Kathy,Conservative,4013.0,7.3,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Lavarenne,,Jean-Michel,Green Party,3352.0,6.1,1022.0,56133.0
24003,Ahuntsic-Cartierville,validated,Parizeau,,André,Bloc Québécois,11974.0,21.7,1022.0,56133.0
24004,Alfred-Pellan,validated,Buté,,Julius,Pour l'Indépendance du Québec,177.0,0.3,973.0,55282.0
24004,Alfred-Pellan,validated,Cappelletti,,Dwayne,Independent,113.0,0.2,973.0,55282.0
24004,Alfred-Pellan,validated,Couture,,Matthieu,People's Party,471.0,0.9,973.0,55282.0
24004,Alfred-Pellan,validated,Esposito,,Angelo,Conservative,5917.0,10.9,973.0,55282.0
24004,Alfred-Pellan,validated,Howells,,Marguerite,Green Party,1958.0,3.6,973.0,55282.0
24004,Alfred-Pellan,validated,Iacono,,Angelo,Liberal,26015.0,47.9,973.0,55282.0
24004,Alfred-Pellan,validated,Kocini,,Andriana,NDP-New Democratic Party,4109.0,7.6,973.0,55282.0
24004,Alfred-Pellan,validated,Lachance,,Michel,Bloc Québécois,15549.0,28.6,973.0,55282.0
24005,Argenteuil--La Petite-Nation,validated,Boucher Smoley,,Charlotte,NDP-New Democratic Party,3758.0,7.5,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Destroismaisons,,Yves,Bloc Québécois,18167.0,36.3,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Edwards,,Sherwin,People's Party,721.0,1.4,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Lauzon,,Stéphane,Liberal,18896.0,37.8,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Louis-Seize,,Marie,Conservative,6044.0,12.1,828.0,50825.0
24005,Argenteuil--La Petite-Nation,validated,Valiquette,,Marjorie,Green Party,2411.0,4.8,828.0,50825.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Barnabé,,Éric,People's Party,210.0,0.6,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Castonguay,,Mathieu,Parti Rhinocéros Party,180.0,0.5,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Côté,,Rémi-Jocelyn,NDP-New Democratic Party,1435.0,4.0,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Massé,,Rémi,Liberal,12188.0,33.9,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Michaud,,Kristina,Bloc Québécois,18500.0,51.4,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Morrison,,James,Green Party,699.0,1.9,591.0,36559.0
24006,Avignon--La Mitis--Matane--Matapédia,validated,Tremblay,,Natasha,Conservative,2756.0,7.7,591.0,36559.0
24007,Beauce,validated,Bernier,,Maxime,Parti Rhinocéros Party,1084.0,1.8,1147.0,60576.0
24007,Beauce,validated,Bernier,,Maxime,People's Party,16796.0,28.3,1147.0,60576.0
24007,Beauce,validated,Fortin,,Josiane,Green Party,1461.0,2.5,1147.0,60576.0
24007,Beauce,validated,Jacques-Côté,,François,NDP-New Democratic Party,1847.0,3.1,1147.0,60576.0
24007,Beauce,validated,Lehoux,,Richard,Conservative,22860.0,38.5,1147.0,60576.0
24007,Beauce,validated,Rodrigue,,Guillaume,Bloc Québécois,8410.0,14.2,1147.0,60576.0
24007,Beauce,validated,Veilleux,,Adam,Liberal,6971.0,11.7,1147.0,60576.0
24008,Beauport--Limoilou,validated,Beaudet,,Simon-Pierre,NDP-New Democratic Party,5599.0,11.2,1272.0,51463.0
24008,Beauport--Limoilou,validated,Bujold,,Antoine,Liberal,13020.0,25.9,1272.0,51463.0
24008,Beauport--Limoilou,validated,Bédard,,Alicia,People's Party,1033.0,2.1,1272.0,51463.0
24008,Beauport--Limoilou,validated,Clarke,,Alupa,Conservative,13185.0,26.3,1272.0,51463.0
24008,Beauport--Limoilou,validated,Elhak,,Dalila,Green Party,2127.0,4.2,1272.0,51463.0
24008,Beauport--Limoilou,validated,Moreau,,Claude,ML,78.0,0.2,1272.0,51463.0
24008,Beauport--Limoilou,validated,Vignola,,Julie,Bloc Québécois,15149.0,30.2,1272.0,51463.0
24009,Bécancour--Nicolet--Saurel,validated,Lennard,,Carole,NDP-New Democratic Party,2732.0,5.2,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Plamondon,,Louis,Bloc Québécois,29653.0,56.7,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Rochefort,,Nathalie,Liberal,9332.0,17.8,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Synnott,,Richard,People's Party,489.0,0.9,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Turcotte,,David,Green Party,1697.0,3.2,1042.0,53379.0
24009,Bécancour--Nicolet--Saurel,validated,Émond,,Pierre-André,Conservative,8434.0,16.1,1042.0,53379.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Blaney,,Steven,Conservative,32283.0,50.1,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Bouchard-Théberge,,Sébastien,Bloc Québécois,14754.0,22.9,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Chamroeun,,Khuon,NDP-New Democratic Party,3256.0,5.1,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Gilbert,,Yves,Christian Heritage Party,188.0,0.3,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Harvey,,Laurence,Liberal,10734.0,16.7,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Johnston,,Marc,People's Party,1307.0,2.0,1113.0,65560.0
24010,Bellechasse--Les Etchemins--Lévis,validated,Voyer,,André,Green Party,1925.0,3.0,1113.0,65560.0
24011,Beloeil--Chambly,validated,Bernard,,Chloé,People's Party,512.0,0.7,1064.0,70554.0
24011,Beloeil--Chambly,validated,Blanchet,,Yves-François,Bloc Québécois,35068.0,50.5,1064.0,70554.0
24011,Beloeil--Chambly,validated,Blondin,,Michel,Pour l'Indépendance du Québec,205.0,0.3,1064.0,70554.0
24011,Beloeil--Chambly,validated,Carrier,,Pierre,Green Party,3255.0,4.7,1064.0,70554.0
24011,Beloeil--Chambly,validated,Dubé,,Matthew,NDP-New Democratic Party,10086.0,14.5,1064.0,70554.0
24011,Beloeil--Chambly,validated,Hamel,,Marie-Chantal,Liberal,16059.0,23.1,1064.0,70554.0
24011,Beloeil--Chambly,validated,Laprise,,Véronique,Conservative,4305.0,6.2,1064.0,70554.0
24012,Berthier--Maskinongé,validated,Brosseau,,Ruth Ellen,NDP-New Democratic Party,19698.0,35.0,977.0,57331.0
24012,Berthier--Maskinongé,validated,Bélanger,,Alain,Independent,154.0,0.3,977.0,57331.0
24012,Berthier--Maskinongé,validated,Bélanger,,Josée,Conservative,5812.0,10.3,977.0,57331.0
24012,Berthier--Maskinongé,validated,Jubinville,,Martin Acetaria Caesar,Parti Rhinocéros Party,151.0,0.3,977.0,57331.0
24012,Berthier--Maskinongé,validated,Laferrière,,Éric,Green Party,1008.0,1.8,977.0,57331.0
24012,Berthier--Maskinongé,validated,Légaré,,Danny,Radical Marijuana,107.0,0.2,977.0,57331.0
24012,Berthier--Maskinongé,validated,Massé,,Luc,People's Party,428.0,0.8,977.0,57331.0
24012,Berthier--Maskinongé,validated,Perron,,Yves,Bloc Québécois,21200.0,37.6,977.0,57331.0
24012,Berthier--Maskinongé,validated,Poirier,,Christine,Liberal,7796.0,13.8,977.0,57331.0
